Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Accomack County Public Schools",,4740
"2023 - 2024",DIV,"Accomack County Public Schools",PG,14
"2023 - 2024",DIV,"Accomack County Public Schools",PK,135
"2023 - 2024",DIV,"Accomack County Public Schools",KG,357
"2023 - 2024",DIV,"Accomack County Public Schools",01,315
"2023 - 2024",DIV,"Accomack County Public Schools",02,342
"2023 - 2024",DIV,"Accomack County Public Schools",03,343
"2023 - 2024",DIV,"Accomack County Public Schools",04,314
"2023 - 2024",DIV,"Accomack County Public Schools",05,319
"2023 - 2024",DIV,"Accomack County Public Schools",06,343
"2023 - 2024",DIV,"Accomack County Public Schools",07,379
"2023 - 2024",DIV,"Accomack County Public Schools",08,370
"2023 - 2024",DIV,"Accomack County Public Schools",09,432
"2023 - 2024",DIV,"Accomack County Public Schools",10,398
"2023 - 2024",DIV,"Accomack County Public Schools",11,346
"2023 - 2024",DIV,"Accomack County Public Schools",12,333
"2023 - 2024",DIV,"Albemarle County Public Schools",,13835
"2023 - 2024",DIV,"Albemarle County Public Schools",PK,291
"2023 - 2024",DIV,"Albemarle County Public Schools",KG,927
"2023 - 2024",DIV,"Albemarle County Public Schools",01,1061
"2023 - 2024",DIV,"Albemarle County Public Schools",02,1081
"2023 - 2024",DIV,"Albemarle County Public Schools",03,997
"2023 - 2024",DIV,"Albemarle County Public Schools",04,1064
"2023 - 2024",DIV,"Albemarle County Public Schools",05,1025
"2023 - 2024",DIV,"Albemarle County Public Schools",06,956
"2023 - 2024",DIV,"Albemarle County Public Schools",07,975
"2023 - 2024",DIV,"Albemarle County Public Schools",08,971
"2023 - 2024",DIV,"Albemarle County Public Schools",09,1149
"2023 - 2024",DIV,"Albemarle County Public Schools",10,1135
"2023 - 2024",DIV,"Albemarle County Public Schools",11,1137
"2023 - 2024",DIV,"Albemarle County Public Schools",12,1066
"2023 - 2024",DIV,"Alexandria City Public Schools",,16439
"2023 - 2024",DIV,"Alexandria City Public Schools",PK,663
"2023 - 2024",DIV,"Alexandria City Public Schools",KG,1415
"2023 - 2024",DIV,"Alexandria City Public Schools",01,1355
"2023 - 2024",DIV,"Alexandria City Public Schools",02,1377
"2023 - 2024",DIV,"Alexandria City Public Schools",03,1258
"2023 - 2024",DIV,"Alexandria City Public Schools",04,1248
"2023 - 2024",DIV,"Alexandria City Public Schools",05,1295
"2023 - 2024",DIV,"Alexandria City Public Schools",06,1110
"2023 - 2024",DIV,"Alexandria City Public Schools",07,1078
"2023 - 2024",DIV,"Alexandria City Public Schools",08,1077
"2023 - 2024",DIV,"Alexandria City Public Schools",09,1180
"2023 - 2024",DIV,"Alexandria City Public Schools",10,1192
"2023 - 2024",DIV,"Alexandria City Public Schools",11,1149
"2023 - 2024",DIV,"Alexandria City Public Schools",12,1042
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",,2836
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",PK,130
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",KG,225
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",01,208
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",02,208
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",03,217
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",04,197
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",05,197
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",06,219
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",07,195
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",08,208
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",09,241
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",10,211
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",11,192
"2023 - 2024",DIV,"Alleghany Highlands Public Schools",12,188
"2023 - 2024",DIV,"Amelia County Public Schools",,1606
"2023 - 2024",DIV,"Amelia County Public Schools",PK,72
"2023 - 2024",DIV,"Amelia County Public Schools",KG,123
"2023 - 2024",DIV,"Amelia County Public Schools",01,129
"2023 - 2024",DIV,"Amelia County Public Schools",02,115
"2023 - 2024",DIV,"Amelia County Public Schools",03,125
"2023 - 2024",DIV,"Amelia County Public Schools",04,107
"2023 - 2024",DIV,"Amelia County Public Schools",05,87
