"On-time Graduation Rate"
10/12/2024

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2023,DIV,"Accomack County Public Schools","All Students",385,334,86.8,340,88.3
2023,DIV,"Accomack County Public Schools","American Indian",<,<,<,<,<
2023,DIV,"Accomack County Public Schools",Asian,<,<,100,<,100
2023,DIV,"Accomack County Public Schools",Black,137,116,84.7,118,86.1
2023,DIV,"Accomack County Public Schools","Economically Disadvantaged",225,187,83.1,191,84.9
2023,DIV,"Accomack County Public Schools","English Learners",43,33,76.7,35,81.4
2023,DIV,"Accomack County Public Schools",Female,183,167,91.3,169,92.3
2023,DIV,"Accomack County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Accomack County Public Schools",Hispanic,103,88,85.4,91,88.3
2023,DIV,"Accomack County Public Schools",Homeless,10,5,50,6,60
2023,DIV,"Accomack County Public Schools",Male,202,167,82.7,171,84.7
2023,DIV,"Accomack County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Accomack County Public Schools","Multiple Races",<,<,100,<,100
2023,DIV,"Accomack County Public Schools","Students with Disabilities",53,47,88.7,48,90.6
2023,DIV,"Accomack County Public Schools",White,136,122,89.7,123,90.4
2023,DIV,"Albemarle County Public Schools","All Students",1080,1006,93.1,1014,93.9
2023,DIV,"Albemarle County Public Schools",Asian,59,55,93.2,55,93.2
2023,DIV,"Albemarle County Public Schools",Black,123,115,93.5,115,93.5
2023,DIV,"Albemarle County Public Schools","Economically Disadvantaged",325,290,89.2,292,89.8
2023,DIV,"Albemarle County Public Schools","English Learners",90,66,73.3,66,73.3
2023,DIV,"Albemarle County Public Schools",Female,499,466,93.4,468,93.8
2023,DIV,"Albemarle County Public Schools","Foster Care",12,9,75,9,75
2023,DIV,"Albemarle County Public Schools",Hispanic,179,152,84.9,152,84.9
2023,DIV,"Albemarle County Public Schools",Homeless,16,14,87.5,14,87.5
2023,DIV,"Albemarle County Public Schools",Male,580,539,92.9,545,94
2023,DIV,"Albemarle County Public Schools","Military Connected",24,23,95.8,23,95.8
2023,DIV,"Albemarle County Public Schools","Multiple Races",48,44,91.7,45,93.8
2023,DIV,"Albemarle County Public Schools","Native Hawaiian",<,<,100,<,100
2023,DIV,"Albemarle County Public Schools","Students with Disabilities",119,107,89.9,109,91.6
2023,DIV,"Albemarle County Public Schools",White,670,639,95.4,646,96.4
2023,DIV,"Alexandria City Public Schools","All Students",1006,873,86.8,889,88.4
2023,DIV,"Alexandria City Public Schools","American Indian",<,<,<,<,<
2023,DIV,"Alexandria City Public Schools",Asian,59,56,94.9,56,94.9
2023,DIV,"Alexandria City Public Schools",Black,259,226,87.3,231,89.2
2023,DIV,"Alexandria City Public Schools","Economically Disadvantaged",543,480,88.4,489,90.1
2023,DIV,"Alexandria City Public Schools","English Learners",261,208,79.7,208,79.7
2023,DIV,"Alexandria City Public Schools",Female,509,466,91.6,475,93.3
2023,DIV,"Alexandria City Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Alexandria City Public Schools",Hispanic,399,310,77.7,318,79.7
2023,DIV,"Alexandria City Public Schools",Homeless,12,10,83.3,10,83.3
