CountyName,TotalEstimate
Accomack County,33367
Albemarle County,112513
Alexandria city,157594
Alleghany County,15159
Amelia County,13309
Amherst County,31426
Appomattox County,16253
Arlington County,235845
Augusta County,77433
Bath County,4177
Bedford County,79761
Bland County,6241
Botetourt County,33734
Bristol city,17036
Brunswick County,15965
Buchanan County,20246
Buckingham County,16869
Buena Vista city,6639
Campbell County,55518
Caroline County,31181
Carroll County,29126
Charles City County,6760
Charlotte County,11563
Charlottesville city,46289
Chesapeake city,249377
Chesterfield County,366019
Clarke County,14882
Colonial Heights city,18158
Covington city,5722
Craig County,4898
Culpeper County,52822
Cumberland County,9697
Danville city,42507
Dickenson County,14089
Dinwiddie County,28057
Emporia city,5680
Essex County,10602
Fairfax County,1145354
Fairfax city,24242
Falls Church city,14576
Fauquier County,73290
Floyd County,15532
Fluvanna County,27442
Franklin County,54838
Franklin city,8194
Frederick County,92007
Fredericksburg city,28258
Galax city,6687
Giles County,16711
Gloucester County,38875
Goochland County,24906
Grayson County,15356
Greene County,20631
Greensville County,11373
Halifax County,34013
Hampton city,137217
Hanover County,110513
Harrisonburg city,51784
Henrico County,333120
Henry County,50760
Highland County,2247
Hopewell city,23046
Isle of Wight County,38898
James City County,78818
King George County,26985
King William County,17845
King and Queen County,6681
Lancaster County,10866
Lee County,22287
Lexington city,7346
Loudoun County,420773
Louisa County,38106
Lunenburg County,11988
Lynchburg city,79166
Madison County,13828
Manassas Park city,17123
Manassas city,42620
Martinsville city,13539
Mathews County,8537
Mecklenburg County,30367
Middlesex County,10738
Montgomery County,99373
Nelson County,14773
New Kent County,23296
Newport News city,185118
Norfolk city,236973
Northampton County,12132
Northumberland County,12007
Norton city,3668
Nottoway County,15638
Orange County,36593
Page County,23753
Patrick County,17660
Petersburg city,33261
Pittsylvania County,60541
Poquoson city,12479
Portsmouth city,97384
Powhatan County,30503
Prince Edward County,21922
Prince George County,42634
Prince William County,481114
Pulaski County,33841
Radford city,16379
Rappahannock County,7422
Richmond County,8968
Richmond city,227171
Roanoke County,96653
Roanoke city,99213
Rockbridge County,22673
Rockingham County,83905
Russell County,25763
Salem city,25372
Scott County,21536
Shenandoah County,44337
Smyth County,29799
Southampton County,18003
Spotsylvania County,141097
Stafford County,157606
Staunton city,25581
Suffolk city,94856
Surry County,6546
Sussex County,10866
Tazewell County,40392
Virginia Beach city,457900
Warren County,40800
Washington County,53985
Waynesboro city,22341
Westmoreland County,18480
Williamsburg city,15486
Winchester city,28103
Wise County,36105
Wythe County,28275
York County,70238
